id;latitud;provincia;altitud;indicativo;nombre;indsinop;longitud
1;393022N;ILLES BALEARS;149;B341X;PORRERES;;030020E
2;284817N;STA. CRUZ DE TENERIFE;362;C148F;SAN ANDR?S Y SAUCES;;174656W
3;282501N;LAS PALMAS;252;C248E;ANTIGUA;;140109W
4;280742N;STA. CRUZ DE TENERIFE;916;C316I;ARURE;;171854W
5;281044N;STA. CRUZ DE TENERIFE;765;C317B;AGULO;;171247W
6;281400N;STA. CRUZ DE TENERIFE;735;C417J;CITFAGRO_74_CHIO;;164721W
7;281935N;STA. CRUZ DE TENERIFE;290;C436I;CITFAGRO_54_TOPONEGRO;;162420W
8;274859N;LAS PALMAS;10;C629X;MOG?N, PUERTO;60036;154551W
9;274308N;STA. CRUZ DE TENERIFE;948;C916Q;EL PINAR, DEP?SITO;;175841W
10;280839N;STA. CRUZ DE TENERIFE;1258;C426E;CITFAGRO_13_VILAFLOR;;163741W
11;274331N;STA. CRUZ DE TENERIFE;713;C917E;EL PINAR, LA DEHESA;;180654W
12;282142N;STA. CRUZ DE TENERIFE;1065;C455M;CITFAGRO_87_AGUAMANSA;;162949W
13;411438N;BARCELONA;58;0073X;SITGES;;015109E
14;413903N;BARCELONA;40;0255B;SANTA SUSANNA;8188;024149E
15;275536N;LAS PALMAS;1220;C623I;SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR;;153559W
16;421530N;GIRONA;851;0312X;SANT PAU DE SEG?RIES;;022152E
17;405729N;TARRAGONA;32;0002I;VANDELL?S;8169;005217E
18;431244N;NAVARRA;305;1021Y;ARTICUTZA (AUTOMATICA);;014752W
19;392024N;ILLES BALEARS;45;B410B;SANTANY?;;030845E
20;413540N;BARCELONA;738;0158O;MONTSERRAT;;015021E
21;431021N;GIPUZKOA;180;1038X;AZPEITIA;;021602W
22;412326N;BARCELONA;26;0201D;BARCELONA, PORT OL?MPIC;8180;021200E
23;432348N;CANTABRIA;10;1096X;BARCENA DE CICERO, TRETO;;032811W
24;413514N;BARCELONA;74;0252D;ARENYS DE MAR;8186;023224E
25;432928N;CANTABRIA;51;1111X;SANTANDER;8023;034802W
26;421129N;GIRONA;675;0324A;RIPOLL;8118;021146E
27;425843N;ASTURIAS;1480;1221D;PAJARES-VALGRANDE;8031;054635W
28;415820N;GIRONA;76;0370E;GIRONA;;024910E
29;433409N;ASTURIAS;60;1283U;CABO BUSTO;8010;062812W
30;393659N;ILLES BALEARS;95;B640X;PETRA;;030716E
31;425150N;LUGO;1080;1521X;BECERRE?;;071107W
32;430329N;GIPUZKOA;290;1026X;ORDIZIA;;021103W
33;395117N;BALEARES;91;B893;MENORCA, AEROPUERTO;8314;041256E
34;423350N;LEON;532;1549;PONFERRADA;8053;063600W
35;432543N;CANTABRIA;3;1109X;SANTANDER AEROPUERTO;8021;034953W
36;411933N;VALLADOLID;740;2503X;OLMEDO;8142;044113W
37;431825N;A CORU?A;98;1387E;A CORU?A AEROPUERTO;8002;082219W
38;280315N;STA. CRUZ DE TENERIFE;190;C319W;VALLEHERMOSO, DAMA;;171823W
39;405256N;AVILA;925;2512Y;RIVILLA DE BARAJAS;;050107W
40;422425N;PONTEVEDRA;395;1489A;A LAMA;;082704W
41;281327N;STA. CRUZ DE TENERIFE;1654;C423R;CITFAGRO_90_PICACHO;;163116W
42;423854N;LEON;995;2728B;QUINTANA DEL CASTILLO, VILLAMECA;;060415W
43;423126N;BURGOS;869;2285B;VILLADIEGO;;040004W
44;282748N;SANTA CRUZ DE TENERIFE;36;C449C;STA.CRUZ DE TENERIFE;60020;161519W
45;422759N;LEON;850;2742R;BUSTILLO DEL P?RAMO;;054647W
46;410417N;AVILA;820;2456B;AREVALO;;044348W
47;282207N;STA. CRUZ DE TENERIFE;595;C458U;CITFAGRO_71_PALOB;;163441W
48;414708N;ZAMORA;711;2789H;POZUELO DE TABARA;;055432W
49;430344N;LEON;1510;2630X;PUERTO DE SAN ISIDRO;8057;052237W
50;275125N;LAS PALMAS;806;C625O;SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO;;153842W
51;402428N;GUADALAJARA;920;3085Y;PASTRANA;;025711W
52;423558N;LEON;912;2661B;LE?N AEROPUERTO;8055;053837W
53;291355N;LAS PALMAS;10;C839I;TEGUISE;;133007W
54;410808N;MADRID;1450;3111D;SOMOSIERRA;8145;033450W
55;420457N;ZAMORA;933;2766E;SANABRIA, ROBLEDA-CERVANTES;;063823W
56;274908N;SANTA CRUZ DE TENERIFE;32;C929I;HIERRO AEROPUERTO;60001;175320W
57;395134N;TOLEDO;540;3259;TOLEDO, LORENZANA;;040132W
58;403410N;SALAMANCA;1027;2918Y;EL MA?LLO;;061325W
59;420025N;BARCELONA;700;0114X;PRATS DE LLU?AN?S;;020136E
60;392857N;CACERES;503;3463X;TRUJILLO;8263;055115W
61;405105N;SALAMANCA;748;2926B;BA?OB?REZ;;063632W
62;413444N;BARCELONA;313;0171X;IGUALADA;8172;013704E
63;400715N;CACERES;1260;3516X;PIORNAL;;054957W
64;403149N;CUENCA;928;3044X;CA?IZARES;8230;020900W
65;413018N;BARCELONA;56;0244X;VILASSAR DE DALT;;022145E
66;400340N;CUENCA;875;4051Y;ALC?ZAR DEL REY;;024825W
67;420314N;GIRONA;1;0385X;L'ESTARTIT;;031205E
68;392327N;CIUDAD REAL;640;4064Y;ALCAZAR DE SAN JUAN;;031257W
69;410025N;MADRID;1030;3110C;BUITRAGO DEL LOZOYA;8146;033650W
70;430506N;NAVARRA;520;1033X;ARESO;;015703W
